Sample	Raw	f1.trim1	f1.trim2	f2.trim1	f2.trim2	b.trim1	b.trim2
P01_02_G	23311	22960	22952	5	0	8	0
P01_07_F	15620	15002	15000	1	0	379	379
P03_11_E	24597	1	0	0	0	23144	23144
P04_11_C	14494	0	0	1	0	14304	14304
P03_04_D	25243	0	0	0	0	24601	24600
P02_02_E	24320	0	0	23988	23975	3	0
P05_02_G	20586	0	0	0	0	20300	20300
P04_03_G	14214	13974	13971	1	0	1	0
P04_08_H	18189	0	0	17923	17922	3	0
P02_10_B	27458	0	0	26983	26979	1	0
P05_03_C	5738	0	0	0	0	5650	5650
P01_05_B	6222	6152	6152	0	0	1	0
P02_11_F	14247	0	0	14057	14054	0	0
P03_09_A	21	1	0	0	0	17	0
P01_12_B	32154	31680	31679	1	0	1	0
P02_02_B	24	2	0	14	0	3	0
P02_06_A	22270	2	0	21946	21937	1	0
P03_05_D	25564	0	0	0	0	24851	24851
P01_05_E	26070	25717	25715	0	0	1	0
P03_08_D	34048	1	0	1	0	33703	33703
P01_03_E	45584	45037	45034	4	0	15	0
P01_09_H	8934	8397	8396	2	0	381	381
P01_05_F	28470	28067	28066	5	0	2	0
P01_06_B	12	6	0	0	0	1	0
P02_04_D	11895	1	0	11690	11689	1	0
P04_07_G	22161	0	0	21853	21851	2	0
P01_12_A	25662	25251	25250	1	0	1	0
P05_01_H	3698	1	0	0	0	3641	3641
P02_12_E	17698	1	0	17457	17370	1	0
P04_01_B	23	6	0	3	0	10	0
P04_11_D	5375	0	0	5	0	5298	5298
P04_06_F	31571	8	0	31134	31127	2	0
P03_08_A	19089	1	0	2	0	18905	18905
P03_11_C	24774	0	0	2	0	24455	24454
P02_05_B	17947	0	0	17699	17698	4	0
P05_01_G	440	0	0	0	0	432	432
P04_09_G	19463	0	0	19108	19106	4	0
P04_07_D	51897	1	0	51094	51079	5	0
P02_07_H	13225	1	0	13053	13048	3	0
P04_09_A	126	0	0	111	97	8	0
P04_02_G	18227	17921	17919	4	0	0	0
P02_12_F	21433	0	0	21167	21161	0	0
P01_12_G	474	121	98	3	0	331	331
P03_06_G	24849	0	0	2	0	24584	24581
P02_01_G	11551	0	0	11374	11372	5	0
P03_10_D	21877	0	0	1	0	21646	21643
P04_07_C	17782	0	0	17518	17514	4	0
P01_07_A	24512	24196	24195	0	0	2	0
P04_03_A	26778	26407	26405	1	0	17	0
P02_06_C	4363	0	0	4275	4275	1	0
P03_06_C	21984	0	0	1	0	21403	21401
P04_04_F	25418	25047	25043	3	0	2	0
P01_08_B	43011	42335	42335	0	0	2	0
P04_06_C	28453	8	0	28051	28046	3	0
P05_02_D	2466	0	0	0	0	2429	2429
P01_08_F	40685	39634	39633	0	0	403	403
P03_03_H	21766	0	0	1	0	21496	21496
P02_10_D	5422	0	0	5347	5341	1	0
P04_01_F	31767	31355	31355	3	0	2	0
P01_12_H	5733	5261	5260	0	0	392	392
P04_06_G	13308	4	0	13126	13123	2	0
P02_07_G	14393	0	0	14185	14181	1	0
P03_10_F	21437	0	0	2	0	20315	20315
P02_05_C	11156	0	0	11000	10998	0	0
P01_11_F	24223	23924	23923	0	0	1	0
P01_06_D	8039	7865	7863	0	0	3	0
P01_09_B	25049	24669	24668	1	0	4	0
P04_02_C	7272	7163	7162	0	0	5	0
P01_03_A	8443	8316	8308	2	0	1	0
P02_06_G	20481	1	0	20175	20166	5	0
P02_03_B	30	3	0	22	0	3	0
P01_10_G	5829	5316	5310	1	0	395	395
P03_12_H	703	0	0	3	0	662	661
P02_01_D	26754	2	0	26232	26229	1	0
P01_01_B	35092	34623	34621	1	0	0	0
P04_01_H	25159	24805	24802	4	0	0	0
P01_06_G	36068	35587	35585	2	0	17	0
P05_02_A	43	1	0	0	0	37	37
P01_06_C	1646	1603	1601	1	0	4	0
P02_11_G	14553	0	0	14368	14365	2	0
P03_01_A	7734	2	0	0	0	7523	7485
P04_09_D	27638	0	0	27217	27201	3	0
P03_03_F	27511	0	0	0	0	27229	27228
P02_03_E	28229	0	0	27858	27854	2	0
P04_03_E	20291	20019	20016	5	0	3	0
P01_07_E	10297	9732	9732	1	0	408	408
P02_04_H	15559	0	0	15347	15346	0	0
P02_08_G	19576	0	0	19262	19261	1	0
P02_02_F	24674	1	0	24221	24215	1	0
P01_11_G	23618	23294	23294	0	0	1	0
P05_04_A	552	0	0	1	0	543	543
P01_09_E	22007	21337	21334	0	0	380	379
P02_02_C	27210	0	0	26780	26552	3	0
P02_02_D	24982	1	0	24629	24623	1	0
P03_03_D	26875	0	0	0	0	25718	25717
P05_02_C	63	0	0	0	0	61	60
P03_11_A	18365	1	0	2	0	18159	18157
P03_03_C	22520	0	0	2	0	21704	21704
P04_06_H	9708	5	0	9549	9546	1	0
P01_02_F	34919	34277	34271	2	0	14	0
P02_08_B	39089	0	0	38540	37777	0	0
P01_02_B	16	8	0	0	0	4	0
P01_11_E	26105	25727	25727	0	0	1	0
P01_12_E	22872	22257	22256	2	0	290	290
P01_10_F	12909	12243	12242	1	0	490	490
P05_04_B	7244	0	0	0	0	7151	7151
P04_01_G	17183	16923	16923	3	0	4	0
P04_08_G	12003	0	0	11778	11778	0	0
P03_04_A	13203	1	0	0	0	12863	12861
P04_11_F	9335	0	0	8	0	9251	9251
P01_04_F	46714	46086	46084	5	0	13	0
P04_04_A	172	148	138	3	0	12	0
P03_07_G	23054	0	0	0	0	21675	21673
