"","sample","library_processing_notes","marker","Study","Tree","Sex","Collection","Season","Weevil","Nitrogen","Stream","Notes"
"P01_07_C","1118","","ITS1","SH2","8398","Male","Fall","Summer","No",0,"Geo-W","pipette at step 5 weird"
"P01_07_D","1255","","ITS1","SH2","6242","Female","Summer","Summer","Yes",0,"Geo-W",""
"P01_07_E","1027","","ITS1","SH2","8352","Male","Fall","Summer","No",0,"Geo-W",""
"P01_07_F","1041","","ITS1","SH2","8331","Male","Fall","Summer","No",0,"Geo-W","again, for steps 2 & 3, Batch 2 waits for 10 minutes - not a problem?; All 12 below stored in freezer for nanodrop?"
"P01_07_G","1381","","ITS1","FH2","8352","Male","Fall","Fall","No",0,"Geo-W",""
"P01_07_H","1392","","ITS1","FH2","8342","Female","Fall","Fall","No",0,"Geo-W",""
"P01_08_A","1139","","ITS1","EH2","E-17","Male","Fall","Fall","No",8,"Geo-W",""
"P01_08_B","1036","","ITS1","FH2","8358","Female","Fall","Fall","No",0,"Geo-W",""
"P01_08_C","1387","","ITS1","FH2","8366","Female","Fall","Fall","No",0,"Geo-W","potential error in step 4"
"P01_08_D","1296","","ITS1","SH2","6325","Male","Summer","Summer","Yes",0,"Geo-W","small amount lost transferring to bead tube"
"P01_08_E","1115","","ITS1","FH2","8398","Male","Fall","Fall","No",0,"Geo-W",""
"P01_08_F","1367","","ITS1","FH2","6282","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_08_G","1385","","ITS1","FH2","8327","Female","Fall","Fall","No",0,"Geo-W",""
"P01_08_H","1320","","ITS1","SH2","S-1","Female","Summer","Summer","Yes",0,"Geo-W",""
"P01_09_B","1072","","ITS1","FH2","8361","Male","Fall","Fall","No",0,"Geo-W",""
"P01_09_C","1353","","ITS1","FH2","6254","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_09_E","1311","","ITS1","SH2","6254","Male","Summer","Summer","Yes",0,"Geo-W",""
"P01_09_F","1308","","ITS1","SH2","6251","Male","Summer","Summer","Yes",0,"Geo-W",""
"P01_09_G","1298","","ITS1","SH2","6282","Female","Summer","Summer","Yes",0,"Geo-W",""
"P01_09_H","1109","","ITS1","SH2","8357","Male","Fall","Summer","No",0,"Geo-W",""
"P01_10_A","1329","","ITS1","SH2","8319","Male","Summer","Summer","Yes",0,"Geo-W",""
"P01_10_B","1345","","ITS1","FH2","6278","Male","Summer","Fall","Yes",0,"Geo-W",""
"P01_10_C","1014","","ITS1","FH2","8356","Female","Fall","Fall","No",0,"Geo-W",""
"P01_10_D","1064","","ITS1","SH2","8380","Female","Fall","Summer","No",0,"Geo-W",""
"P01_10_E","1284","","ITS1","SH2","6264","Female","Summer","Summer","Yes",0,"Geo-W","error step 7; but nano was fine - error was minor? Step 10 some splashed out"
"P01_10_F","1166","","ITS1","FH2","8377","Female","Fall","Fall","No",0,"Geo-W",""
"P01_10_G","1304","","ITS1","SH2","8342","Female","Fall","Summer","No",0,"Geo-W",""
"P01_10_H","1286","","ITS1","FH2","6264","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_11_A","1201","","ITS1","FH2","E-11","Female","Fall","Fall","No",0,"Geo-W",""
"P01_11_B","1086","","ITS1","SH2","8387","Male","Fall","Summer","No",0,"Geo-W",""
"P01_11_C","1374","","ITS1","FH2","6281","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_11_D","1206","","ITS1","SH2","E-11","Female","Fall","Summer","No",0,"Geo-W",""
"P01_11_E","1371","","ITS1","FH2","6295","Female","Summer","Fall","Yes",0,"Geo-W","didn't mix? Nano drop too high?"
"P01_11_F","1377","","ITS1","FH2","8365","Male","Fall","Fall","No",0,"Geo-W",""
"P01_11_G","1273","","ITS1","FH2","6234","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_11_H","1369","","ITS1","FH2","S-1","Female","Summer","Fall","Yes",0,"Geo-W",""
"P01_12_A","7381","","ITS1","SH2-18","2","Male","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_B","4813","","ITS1","SH2-18","3","Male","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_C","6015","","ITS1","SH1-18","8320","Female","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_D","4888","","ITS1","SH1-18","1","Male","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_E","7896","","ITS1","SH2-18","8332","Female","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_F","3755","","ITS1","SH2-18","1","Male","Summer","Summer","Yes",0,"Forsyth",""
"P01_12_G","neg","","ITS1","","","","","","",NA,"",""
"P01_12_H","pos","","ITS1","","","","","","",NA,"",""
"P04_01_A","4128","","ITS1","SH1-18","3","Male","Summer","Summer","Yes",0,"Forsyth",""
"P04_01_C","3569","","ITS1","SH2-18","9","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_01_D","4397","","ITS1","SH1-18","8388","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_01_F","4725","","ITS1","SH2-18","7","Female","Summer","Summer","Yes",0,"Forsyth",""
"P04_01_G","1001","","ITS1","FH1-18","E-9","Female","Fall","Fall","No",16,"Willow",""
"P04_01_H","1002","","ITS1","FH2-18","E-9","Female","Fall","Fall","No",16,"Willow",""
"P04_02_A","1003","","ITS1","FH1-18","E-6","Male","Fall","Fall","Yes",16,"Willow",""
"P04_02_B","1004","","ITS1","FH2-18","E-6","Male","Fall","Fall","Yes",16,"Willow",""
"P04_02_C","1005","","ITS1","FH1-18","E-16","Female","Fall","Fall","Yes",8,"Willow",""
"P04_02_D","1006","","ITS1","FH2-18","E-16","Female","Fall","Fall","Yes",8,"Willow",""
"P04_02_E","1007","","ITS1","FH1-18","E-2","Female","Fall","Fall","No",8,"Willow",""
"P04_02_F","1008","","ITS1","FH2-18","E-2","Female","Fall","Fall","No",8,"Willow",""
"P04_02_G","1009","","ITS1","FH1-18","E-14","Male","Fall","Fall","No",0,"Willow",""
"P04_02_H","1010","","ITS1","FH2-18","E-14","Male","Fall","Fall","No",0,"Willow",""
"P04_03_A","1011","","ITS1","FH1-18","E-5","Male","Fall","Fall","Yes",0,"Willow",""
"P04_03_B","1012","","ITS1","FH2-18","E-5","Male","Fall","Fall","Yes",0,"Willow",""
"P04_03_C","MF1","","ITS1","initial","1","Male","Summer",NA,"Yes",0,NA,""
"P04_03_D","MF2","","ITS1","initial","2","Male","Summer",NA,"Yes",0,NA,""
"P04_03_E","MF3","","ITS1","initial","3","Male","Summer",NA,"Yes",0,NA,""
"P04_03_F","MF5","","ITS1","initial","8316","Female","Summer",NA,"Yes",0,NA,""
"P04_03_G","MF9","8 & 9 may have been switched (the order here is the order from the tray)","ITS1","initial","9","Female","Summer",NA,"Yes",0,NA,""
"P04_03_H","MF8","8 & 9 may have been switched (the order here is the order from the tray)","ITS1","initial","8388","Female","Summer",NA,"Yes",0,NA,""
"P04_04_A","8365A","plant DNA?","ITS1","plantpro","8365","Male","Fall",NA,"No",0,NA,""
"P04_04_B","8332b","Logan","ITS1","initial","8332","Female","Summer",NA,"Yes",0,NA,""
"P04_04_C","455b","Logan","ITS1","initial","8320","Female","Summer",NA,"Yes",0,NA,""
"P04_04_D","4b","Logan","ITS1","initial","4","Male","Summer",NA,"Yes",0,NA,""
"P04_04_E","7b","Logan","ITS1","initial","7","Female","Summer",NA,"Yes",0,NA,""
"P04_04_F","NLPW","Logan","ITS1","env","willow",NA,NA,"Fall",NA,NA,"Forsyth",""
"P04_04_G","NLPA","Logan","ITS1","env","alder",NA,NA,"Fall",NA,NA,"Forsyth",""
"P04_04_H","neg","","ITS1","","","","","","",NA,"",""
"P04_05_A","pos","","ITS1","","","","","","",NA,"",""
