"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.504","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__micaceus"
"OTU.505","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.506","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","s__acerina"
"OTU.507","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.509","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Juncaceicola",NA
"OTU.510","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.512","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Aleurodiscus","s__amorphus"
"OTU.513","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__eucalyptorum"
"OTU.514","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma",NA
"OTU.515","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.516","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.517","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Phialea",NA
"OTU.519","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.520","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramularia","s__hydrangeae-macrophyllae"
"OTU.521","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Lasiosphaeriaceae","g__Lasiosphaeris","s__hispida"
"OTU.522","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawianum"
"OTU.523","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Globomycetaceae","g__Urceomyces","s__sphaerocarpus"
"OTU.524","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Lapidomyces",NA
"OTU.525","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.526","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Didymella",NA
"OTU.527","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"OTU.528","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora","s__prunorum"
"OTU.529","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Phialea","s__strobilina"
"OTU.530","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Pisolithaceae","g__Pisolithus",NA
"OTU.531","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Variocladium","s__giganteum"
"OTU.532","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"OTU.533","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces",NA
"OTU.534","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Gelidatrema","s__spencermartinsiae"
"OTU.535","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.536","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__acaciae"
"OTU.537","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.538","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus"
"OTU.539","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae",NA,NA
"OTU.540","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__phaeophysciae"
"OTU.541","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"OTU.543","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.544","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.545","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"OTU.546","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Comoclathris","s__rosae"
"OTU.547","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Melampsoraceae","g__Melampsora","s__epitea"
"OTU.548","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena",NA
"OTU.549","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariaceae","g__Neurospora","s__terricola"
"OTU.550","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU.551","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Friedmanniomyces",NA
"OTU.552","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella",NA
"OTU.553","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Naucoria","s__scolecina"
"OTU.554","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU.555","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,NA
"OTU.556","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Powellomycetaceae","g__Powellomyces",NA
"OTU.557","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"OTU.559","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Globomycetaceae","g__Globomyces","s__pollinis-pini"
"OTU.561","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Piskurozymaceae","g__Piskurozyma",NA
"OTU.562","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae"
"OTU.563","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__caledonica"
"OTU.564","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.565","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans"
"OTU.566","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales",NA,NA,NA
"OTU.567","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.568","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Hispidoconidioma","s__alpinum"
"OTU.569","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus","s__menthae"
"OTU.571","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales",NA,NA,NA
"OTU.572","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__nunavutica"
"OTU.573","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora",NA
"OTU.574","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.575","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.576","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora",NA
"OTU.577","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Leptosphaeria",NA
"OTU.580","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Geopyxis","s__alpina"
"OTU.581","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae",NA,NA
"OTU.582","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"OTU.583","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Aleurodiscus","s__amorphus"
"OTU.584","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.586","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__friedmannii"
"OTU.587","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora",NA
"OTU.588","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__capitatum"
"OTU.589","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__hollandica"
"OTU.590","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.591","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.592","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__triglochinicola"
"OTU.594","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__atra"
"OTU.595","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales",NA,NA,NA
"OTU.596","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Alatospora",NA
"OTU.597","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.598","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.599","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.600","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.601","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__sclerocystidiosus"
"OTU.602","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.603","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.606","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium",NA
"OTU.607","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"OTU.608","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__megalosporus"
"OTU.610","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Juncaceicola","s__typharum"
"OTU.611","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.612","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Paraphoma",NA
"OTU.613","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Helicoma","s__fumosum"
"OTU.614","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.615","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.616","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.617","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU.618","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Rhizoscyphus","s__monotropae"
"OTU.619","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU.620","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.621","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"OTU.622","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.623","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.624","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.625","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.626","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.627","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.628","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Neonectria","s__major"
"OTU.629","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
