"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.946","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.947","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae",NA,NA
"OTU.948","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU.950","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.951","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces","s__crustaceus"
"OTU.952","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.953","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Melanconidaceae","g__Melanconis","s__stilbostoma"
"OTU.954","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.955","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.956","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.957","k__Fungi","p__Basidiomycota","c__Microbotryomycetes",NA,NA,NA,NA
"OTU.958","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Resinicium","s__furfuraceum"
"OTU.959","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.960","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Globomycetaceae","g__Globomyces","s__pollinis-pini"
"OTU.961","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae","g__Ramularia",NA
"OTU.962","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","s__eucalypti"
"OTU.963","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.964","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces","s__crustaceus"
"OTU.965","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.966","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.967","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__ellisii"
"OTU.969","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__hollandica"
"OTU.970","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Calyptella","s__capula"
"OTU.973","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.975","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Stylonectria","s__norvegica"
"OTU.976","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"OTU.977","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae",NA,NA
"OTU.978","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Psilocybe","s__montana"
"OTU.979","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__avenae"
"OTU.980","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae",NA,NA
"OTU.981","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.982","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.983","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Perenniporia","s__subacida"
"OTU.984","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.985","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.986","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.988","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia",NA
"OTU.989","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.990","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.992","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.993","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.994","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.995","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.996","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"OTU.997","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.998","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"OTU.999","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pezizaceae","g__Peziza","s__ninguis"
"OTU.1000","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Inocybaceae","g__Inocybe","s__lacera"
"OTU.1001","k__Fungi","p__Rozellomycota","c__Rozellomycotina_cls_Incertae_sedis","o__GS11",NA,NA,NA
"OTU.1002","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriaceae",NA,NA
"OTU.1003","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA
"OTU.1004","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Rachicladosporium",NA
"OTU.1006","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Peniophorella","s__pubera"
"OTU.1007","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Lapidomyces",NA
"OTU.1008","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.1009","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1010","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__parvispora"
"OTU.1011","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Serpulaceae","g__Serpula","s__himantioides"
"OTU.1012","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__persica"
"OTU.1013","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster","s__rubyensis"
"OTU.1014","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina","s__alpestris"
"OTU.1015","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1017","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","s__cicognanii"
"OTU.1018","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1019","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1020","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1021","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Geopyxis","s__carbonaria"
"OTU.1023","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria",NA
"OTU.1024","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Dematiopleospora",NA
"OTU.1025","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Tricholomataceae","g__Mycena","s__epipterygia"
"OTU.1026","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1027","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1028","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1029","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","s__intermedium"
"OTU.1030","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Bolbitiaceae","g__Agrocybe","s__praecox"
"OTU.1031","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1032","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1033","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1034","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1035","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1036","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Oleoguttula","s__mirabilis"
"OTU.1038","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA
"OTU.1040","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1042","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.1045","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__ellisii"
"OTU.1046","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"OTU.1047","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Endoconidioma","s__populi"
"OTU.1049","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Cryptococcus","s__saitoi"
"OTU.1050","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Lambertella",NA
"OTU.1051","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1052","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Cryptosporella","s__alni-rubrae"
"OTU.1053","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Parasola",NA
"OTU.1054","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Gremmeniella",NA
"OTU.1055","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.1056","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium",NA
"OTU.1057","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Galerina",NA
"OTU.1058","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Neocatenulostroma",NA
"OTU.1059","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1060","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium",NA
"OTU.1061","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.1062","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Rutstroemiaceae","g__Lambertella",NA
"OTU.1063","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1064","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniastraceae","g__Pucciniastrum","s__epilobii"
"OTU.1065","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa",NA
"OTU.1066","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.1067","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Collembolispora",NA
"OTU.1069","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia",NA
"OTU.1070","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.1071","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hebelomataceae",NA,NA
"OTU.1072","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__humicola"
"OTU.1073","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis",NA,NA
"OTU.1074","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1075","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1076","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinopsis","s__acuminata"
"OTU.1077","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1078","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Jaapiales","f__Jaapiaceae","g__Jaapia","s__ochroleuca"
"OTU.1079","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Rhizopogonaceae","g__Rhizopogon","s__villosulus"
"OTU.1080","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1082","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pluteaceae","g__Pluteus","s__exilis"
"OTU.1083","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1084","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1085","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida",NA
"OTU.1086","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1088","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fomitopsis","s__pinicola"
"OTU.1089","k__Fungi","p__Basidiomycota","c__Ustilaginomycetes","o__Ustilaginales","f__Ustilaginaceae","g__Ustilago","s__hordei"
"OTU.1090","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1091","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","s__fasciculatum"
"OTU.1092","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.1093","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1094","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__friedmannii"
"OTU.1095","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1097","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","s__mexicanus"
"OTU.1098","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1099","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Lophium","s__mytilinum"
"OTU.1100","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Emericellopsis","s__humicola"
"OTU.1101","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1102","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1103","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"OTU.1104","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"OTU.1106","k__Fungi","p__Basidiomycota","c__Malasseziomycetes","o__Malasseziales","f__Malasseziaceae","g__Malassezia","s__restricta"
"OTU.1107","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Bensingtonia",NA
"OTU.1108","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Coriolaceae","g__Trametes","s__versicolor"
"OTU.1109","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","s__acerina"
"OTU.1110","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Pseudoophiobolus","s__subhyalinisporus"
"OTU.1111","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales",NA,NA,NA
"OTU.1112","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae","g__Neodevriesia","s__poagena"
"OTU.1114","k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"OTU.1115","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1116","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cadophora",NA
"OTU.1117","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1118","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.1119","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1120","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales",NA,NA,NA
"OTU.1122","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1123","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Tricharina","s__praecox"
"OTU.1124","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1125","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1126","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Loreleia","s__marchantiae"
"OTU.1127","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Tilletiales","f__Tilletiaceae","g__Tilletia","s__fusca"
"OTU.1128","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1130","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU.1132","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"OTU.1133","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Protomycetaceae","g__Protomyces","s__inouyei"
"OTU.1136","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1137","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Cryptococcus",NA
"OTU.1138","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.1139","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU.1140","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__eucalyptorum"
"OTU.1142","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1143","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Herpotrichia",NA
"OTU.1144","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.1145","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__pallescens"
"OTU.1146","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae",NA,NA
"OTU.1147","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1148","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Cordycipitaceae","g__Beauveria","s__bassiana"
"OTU.1150","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"OTU.1152","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Cistella",NA
"OTU.1153","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.1155","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.1156","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.1157","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU.1159","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU.1160","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"OTU.1161","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Agaricaceae","g__Coprinus",NA
"OTU.1162","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"OTU.1163","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Bjerkandera","s__adusta"
"OTU.1164","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Penicillium","s__bialowiezense"
